claim_id,time_to_close,claim_amount,amount_paid,location,individuals_on_claim,linked_cases,cause
0001,317,R$ 74474.55,51231.37,RECIFE,15,FALSE,unknown
0002,195,R$ 52137.83,42111.3,FORTALEZA,12,TRUE,unknown
0003,183,R$ 24447.2,23986.3,SAO LUIS,10,TRUE,meat
0004,186,R$ 29006.28,27942.72,FORTALEZA,11,FALSE,meat
0005,138,R$ 19520.6,16251.06,RECIFE,11,FALSE,vegetable
0006,183,R$ 47529.14,38011.98,NATAL,11,FALSE,unknown
0007,190,R$ 39073.26,29826.04,SAO LUIS,12,FALSE,meat
0008,183,R$ 29870.56,29727.52,SAO LUIS,8,TRUE,unknown
0009,149,R$ 26644.46,23362.14,RECIFE,9,FALSE,meat
0010,149,R$ 11544.68,9680.82,NATAL,6,FALSE,vegetable
0011,180,R$ 31002.6,27110.18,SAO LUIS,8,FALSE,unknown
0012,208,R$ 29802.86,26505.06,SAO LUIS,8,FALSE,unknown
0013,175,R$ 23831.65,17145.09,SAO LUIS,7,FALSE,meat
0014,223,R$ 42626.53,31053.01,RECIFE,12,FALSE,meat
0015,265,R$ 36210.84,24847.68,NATAL,10,FALSE,meat
0016,235,R$ 47684.68,33591,NATAL,13,FALSE,meat
0017,229,R$ 40630.59,29160.14,RECIFE,8,FALSE,unknown
0018,189,R$ 36757.41,30501,FORTALEZA,12,FALSE,meat
0019,195,R$ 10269.56,9160.26,SAO LUIS,4,FALSE,meat
0020,204,R$ 24765.33,19404.41,RECIFE,8,FALSE,meat
0021,129,R$ 14881.61,10822.15,FORTALEZA,4,FALSE,meat
0022,167,R$ 31598.7,22937.73,FORTALEZA,9,FALSE,meat
0023,119,R$ 25144.17,24675.2,NATAL,10,FALSE,meat
0024,190,R$ 19898.95,16022.6,SAO LUIS,6,FALSE,meat
0025,177,R$ 9371.92,7112.45,RECIFE,2,TRUE,unknown
0026,170,R$ 8916.35,8420.9,FORTALEZA,3,TRUE,meat
0027,148,R$ 16589.53,14038.96,SAO LUIS,6,FALSE,meat
0028,173,R$ 23879.46,16113.59,SAO LUIS,11,TRUE,vegetable
0029,184,R$ 7277.41,5389.97,RECIFE,2,FALSE,unknown
0030,177,R$ 25249.81,19690.69,SAO LUIS,13,TRUE,vegetable
0031,172,R$ 12343.57,10961.43,RECIFE,7,TRUE,vegetable
0032,237,R$ 44241.95,38422.89,FORTALEZA,11,FALSE,unknown
0033,184,R$ 26030.25,NA,NATAL,7,TRUE,unknown
0034,262,R$ 55464.45,41194.29,NATAL,12,FALSE,unknown
0035,136,R$ 12263.77,9586.79,SAO LUIS,4,FALSE,meat
0036,181,R$ 42026.19,29408.54,RECIFE,8,TRUE,unknown
0037,161,R$ 12528.59,9169.83,SAO LUIS,6,TRUE,vegetable
0038,161,R$ 16281.68,11322.28,SAO LUIS,8,TRUE,vegetable
0039,146,R$ 17767.87,15263.33,RECIFE,6,FALSE,meat
0040,243,R$ 65711.62,46793.75,SAO LUIS,13,FALSE,unknown
0041,233,R$ 48334.55,35720.92,RECIFE,14,FALSE,meat
0042,125,R$ 17355.92,12983.27,SAO LUIS,5,FALSE,meat
0043,166,R$ 8838.44,8487.89,FORTALEZA,6,TRUE,vegetable
0044,189,R$ 22790.6,20273.7,NATAL,8,FALSE,meat
0045,178,R$ 23258.79,20821.47,RECIFE,6,FALSE,unknown
0046,175,R$ 6110.23,4663.12,SAO LUIS,3,TRUE,vegetable
0047,111,R$ 3077.46,2529.04,SAO LUIS,1,FALSE,meat
0048,184,R$ 36137.84,31374.56,NATAL,9,TRUE,unknown
0049,195,R$ 57591.85,41984.51,FORTALEZA,12,TRUE,unknown
0050,168,R$ 13771.14,9904.09,RECIFE,3,FALSE,unknown
0051,301,R$ 37147.29,26733.28,RECIFE,11,FALSE,meat
0052,192,R$ 32133.69,30394.11,SAO LUIS,9,FALSE,unknown
0053,250,R$ 40247.32,36845.67,SAO LUIS,15,FALSE,meat
0054,185,R$ 42894.54,31984.52,NATAL,13,FALSE,meat
0055,140,R$ 8345.22,5999.98,RECIFE,2,FALSE,meat
0056,248,R$ 31969.06,24105.93,FORTALEZA,10,FALSE,meat
0057,196,R$ 39392.54,31116.67,FORTALEZA,12,FALSE,meat
0058,196,R$ 38095.37,25581.59,RECIFE,7,FALSE,unknown
0059,172,R$ 18427.98,14338.23,SAO LUIS,4,TRUE,unknown
0060,189,R$ 32457.05,29022.52,RECIFE,12,FALSE,meat
0061,190,R$ 44480.06,36221.77,RECIFE,14,TRUE,meat
0062,192,R$ 42555.08,32090.68,NATAL,9,TRUE,unknown
0063,168,R$ 9329.1,7410.36,RECIFE,5,TRUE,vegetable
0064,130,R$ 14067.53,9843.57,RECIFE,4,FALSE,meat
0065,179,R$ 9503.79,6832.72,RECIFE,5,TRUE,vegetable
0066,290,R$ 44838.93,33501.64,SAO LUIS,10,FALSE,unknown
0067,215,R$ 47085.36,32161.53,RECIFE,13,FALSE,meat
0068,182,R$ 41183.99,30185.83,RECIFE,12,TRUE,meat
0069,181,R$ 21339.17,20777.92,NATAL,8,FALSE,meat
0070,159,R$ 19517.11,13329.36,SAO LUIS,4,FALSE,unknown
0071,105,R$ 7971.09,7037.77,RECIFE,3,FALSE,meat
0072,188,R$ 23351.97,21259.89,RECIFE,6,FALSE,unknown
0073,109,R$ 5692.89,5542.72,SAO LUIS,2,FALSE,meat
0074,267,R$ 42740.52,32356.85,FORTALEZA,13,FALSE,meat
0075,142,R$ 39531.87,29692.78,FORTALEZA,8,FALSE,unknown
0076,276,R$ 56768.49,43592.36,RECIFE,12,FALSE,unknown
0077,293,R$ 30218.51,24018.52,NATAL,10,FALSE,meat
0078,226,R$ 31825.22,27861.15,SAO LUIS,11,FALSE,meat
0079,185,R$ 36450.49,28474.57,NATAL,8,FALSE,unknown
0080,187,R$ 47152.41,45277.59,RECIFE,13,TRUE,unknown
0081,153,R$ 23643.75,17953.93,RECIFE,7,FALSE,meat
0082,185,R$ 32758.59,24760.8,SAO LUIS,7,TRUE,unknown
0083,180,R$ 25538.87,22569.33,RECIFE,9,FALSE,meat
0084,132,R$ 3232.14,2292.95,SAO LUIS,2,FALSE,vegetable
0085,157,R$ 20304.65,19375.64,NATAL,8,FALSE,meat
0086,187,R$ 69055.2,47856.59,RECIFE,14,TRUE,unknown
0087,181,R$ 26795.81,23927.72,NATAL,10,FALSE,meat
0088,144,R$ 9001.69,6141.51,RECIFE,2,FALSE,meat
0089,149,R$ 24763.94,23150.88,RECIFE,9,FALSE,meat
0090,181,R$ 25085.36,24118.04,RECIFE,7,TRUE,unknown
0091,187,R$ 19109.42,17462.49,FORTALEZA,5,FALSE,unknown
0092,200,R$ 19855.85,18919.29,SAO LUIS,8,FALSE, Meat
0093,172,R$ 11906.84,8028.04,RECIFE,5,TRUE,vegetable
0094,199,R$ 30530.98,25218.88,FORTALEZA,10,FALSE,meat
0095,142,R$ 19141.61,17378.45,RECIFE,7,FALSE,meat
0096,156,R$ 18579.63,18072.4,SAO LUIS,7,FALSE,meat
0097,138,R$ 9598.14,7851.31,RECIFE,2,FALSE,unknown
0098,165,R$ 12061.01,10679.06,RECIFE,7,FALSE,vegetable
0099,208,R$ 32233.78,27436,SAO LUIS,8,FALSE,unknown
0100,273,R$ 31881.24,26710,RECIFE,11,FALSE,meat
0101,148,R$ 12484.6,10121.16,FORTALEZA,4,FALSE,meat
0102,120,R$ 5933.88,5619.19,RECIFE,2,FALSE,unknown
0103,178,R$ 27699.95,25286.08,RECIFE,7,FALSE,unknown
0104,247,R$ 50428.11,34744.43,RECIFE,14,FALSE,meat
0105,280,R$ 34950.96,27954.71,SAO LUIS,11,FALSE,meat
0106,238,R$ 40329.45,28449.26,SAO LUIS,11,FALSE,meat
0107,192,R$ 42945.8,35874.42,RECIFE,10,FALSE,unknown
0108,134,R$ 30234.92,26429.66,SAO LUIS,8,FALSE,unknown
0109,148,R$ 37307.93,31027.26,NATAL,12,FALSE,meat
0110,195,R$ 54215.84,41042.83,FORTALEZA,12,TRUE,unknown
0111,176,R$ 10503.28,10364.14,RECIFE,7,TRUE,vegetable
0112,184,R$ 18081.04,16183.81,RECIFE,5,FALSE,unknown
0113,359,R$ 50309.9,NA,FORTALEZA,13,FALSE,unknown
0114,186,R$ 20048.81,17144.27,RECIFE,7,FALSE,meat
0115,160,R$ 2251.51,2219.79,RECIFE,1,TRUE,vegetable
0116,188,R$ 36546.28,30010.51,FORTALEZA,12,TRUE,meat
0117,355,R$ 58629.1,43653.41,SAO LUIS,12,FALSE,unknown
0118,148,R$ 41644.17,31092.65,FORTALEZA,12,FALSE,meat
0119,172,R$ 22762.93,22309.06,RECIFE,15,TRUE,vegetable
0120,297,R$ 40548.36,34869.54,RECIFE,14,FALSE,meat
0121,245,R$ 43245.25,34362.34,RECIFE,14,FALSE,meat
0122,126,R$ 16163.79,12768.33,FORTALEZA,5,FALSE,meat
0123,179,R$ 27920.03,26554.13,SAO LUIS,11,TRUE,meat
0124,188,R$ 45922.16,45895.84,SAO LUIS,13,TRUE,unknown
0125,226,R$ 26261.41,19867.2,RECIFE,13,FALSE,vegetable
0126,157,R$ 11667.58,8055.74,FORTALEZA,2,FALSE,unknown
